Rpsi(lP),Evac
2.261350689692764143e+39,1.688725603869236092e-01
2.263434847122083707e+39,1.692532634330543573e-01
2.265520925399988981e+39,1.696341756513817522e-01
2.267608926296741779e+39,1.700152960551364056e-01
2.269698851584384054e+39,1.703966236570566561e-01
2.271790703036442928e+39,1.707781574693104099e-01
2.273884482428227479e+39,1.711598965035651676e-01
2.275980191536535272e+39,1.715418397709095044e-01
2.278077832139949761e+39,1.719239862819502696e-01
2.280177406018545308e+39,1.723063350467339827e-01
2.282278914954184877e+39,1.726888850748170556e-01
2.284382360730225667e+39,1.730716353751871328e-01
2.286487745131779634e+39,1.734545849563538245e-01
2.288595069945604382e+39,1.738377328263035204e-01
2.290704336959991643e+39,1.742210779924955599e-01
2.292815547965031727e+39,1.746046194618780523e-01
2.294928704752314618e+39,1.749883562409111637e-01
2.297043809115230995e+39,1.753722873355284817e-01
2.299160862848674836e+39,1.757564117511671853e-01
2.301279867749344439e+39,1.761407284927568873e-01
2.303400825615444124e+39,1.765252365647492772e-01
2.305523738246947171e+39,1.769099349710731850e-01
2.307648607445487016e+39,1.772948227151985301e-01
2.309775435014244219e+39,1.776798988000502233e-01
2.311904222758211520e+39,1.780651622281401725e-01
2.314034972483894932e+39,1.784506120014202057e-01
2.316167685999616272e+39,1.788362471214204608e-01
2.318302365115212146e+39,1.792220665891298692e-01
2.320439011642339797e+39,1.796080694051347126e-01
2.322577627394173674e+39,1.799942545694711848e-01
2.324718214185711284e+39,1.803806210817646694e-01
2.326860773833471264e+39,1.807671679411093635e-01
2.329005308155759954e+39,1.811538941462003671e-01
2.331151818972559864e+39,1.815407986952206343e-01
2.333300308105416651e+39,1.819278805858976500e-01
2.335450777377707490e+39,1.823151388155203612e-01
2.337603228614336734e+39,1.827025723809000968e-01
2.339757663642044187e+39,1.830901802784009602e-01
2.341914084289099850e+39,1.834779615039286160e-01
2.344072492385611898e+39,1.838659150529601827e-01
2.346232889763222026e+39,1.842540399205059853e-01
2.348395278255375042e+39,1.846423351011324265e-01
2.350559659697205532e+39,1.850307995889852730e-01
2.352726035925424520e+39,1.854194323777512421e-01
2.354894408778588757e+39,1.858082324606878111e-01
