alpha,mu_Xi,mu_D,error
0.5,-0.0000000000000000000000000,2.7404200193001466701048230,2.74e+00
1.0,-0.0000000000000000000000000,1.0548271687284589415156688,1.05e+00
2.0,-0.0000000000000000000000000,0.3885682349889643671936312,3.89e-01
